prefix	lemma	abs_freq	abs_freq0	abs_freq1	abs_freq2	freq	freq0	freq1	freq2
во?	вмазывать	232	23	88	121	0.941	0.319	0.946	1.487
во?	вменять	1022	380	193	449	4.144	5.263	2.075	5.516
во?	вменяться	431	162	116	153	1.748	2.244	1.247	1.88
во?	вметать	31	17	7	7	0.126	0.235	0.075	0.086
во?	вмешивать	116	45	47	24	0.47	0.623	0.505	0.295
во?	вмешиваться	8185	2490	3269	2426	33.188	34.488	35.139	29.806
во?	вмещать	2675	836	1058	781	10.846	11.579	11.372	9.595
во?	вмещаться	621	169	278	174	2.518	2.341	2.988	2.138
во?	внедрять	1962	53	637	1272	7.955	0.734	6.847	15.628
во?	внедряться	898	96	339	463	3.641	1.33	3.644	5.688
во?	вникать	3219	1099	1133	987	13.052	15.222	12.179	12.126
во?	внимать	3033	1309	912	812	12.298	18.13	9.803	9.976
во?	вносить	18748	5052	6443	7253	76.019	69.973	69.256	89.111
во?	вноситься	924	279	245	400	3.747	3.864	2.634	4.914
во?	внюхиваться	89	5	50	34	0.361	0.069	0.537	0.418
во?	вовлекать	2223	397	807	1019	9.014	5.499	8.674	12.52
во?	вовлекаться	299	32	115	152	1.212	0.443	1.236	1.867
во?	водворять	1088	619	382	87	4.412	8.573	4.106	1.069
во?	водворяться	924	631	258	35	3.747	8.74	2.773	0.43
во?	водружать	1005	178	404	423	4.075	2.465	4.343	5.197
во?	водружаться	70	19	22	29	0.284	0.263	0.236	0.356
во?	вонзать	869	263	372	234	3.524	3.643	3.999	2.875
во?	вонзаться	1001	235	496	270	4.059	3.255	5.332	3.317
во?	воображать	11945	6095	3860	1990	48.434	84.419	41.491	24.449
во?	воображаться	187	112	53	22	0.758	1.551	0.57	0.27
во?	воодушевлять	867	212	420	235	3.515	2.936	4.515	2.887
во?	воодушевляться	409	129	143	137	1.658	1.787	1.537	1.683
во?	вооружать	2456	942	956	558	9.958	13.047	10.276	6.856
во?	вооружаться	1942	955	604	383	7.874	13.227	6.492	4.706
во?	вооружиться	82	55	18	9	0.332	0.762	0.193	0.111
во?	воплощать	3291	450	1326	1515	13.344	6.233	14.253	18.613
во?	воплощаться	1589	376	614	599	6.443	5.208	6.6	7.359
во?	вопрошать	2080	901	560	619	8.434	12.479	6.019	7.605
во?	ворваться	4570	1106	2250	1214	18.53	15.319	24.185	14.915
во?	воцаряться	1679	584	598	497	6.808	8.089	6.428	6.106
во?	вочеловечиваться	72	18	46	8	0.292	0.249	0.494	0.098
